name,sku,category_id,description,selling_price,quantity
HP DeskJet 2755e Printer,HPDJ-2755E,2,All-in-one wireless inkjet printer,99.00,30
Canon PIXMA TR8620,CANPX-TR8620,2,Professional all-in-one inkjet printer,199.00,20
Brother HL-L2350DW,BROHL-L2350DW,2,Monochrome laser printer,139.00,25
Epson EcoTank ET-2850,EPET-2850,2,Cartridge-free all-in-one printer,349.00,18
Stapler Heavy Duty,OD-STD-HD-100,2,Metal stapler for 100 sheets,29.00,80
Paper Shredder Cross-Cut,OD-PSCC-12SH,2,12-sheet cross-cut shredder,119.00,15
A4 Copy Paper 5 Reams,OD-A4CP-5R-2500,2,Multi-purpose copy paper 2500 sheets,45.00,150
Ballpoint Pens Box 50,OD-BPB-50-BLUE,2,Blue ballpoint pens bulk pack,19.00,100
Notebooks A5 Pack of 10,OD-NB-A5-10PK,2,Ruled notebooks 96 pages each,24.00,120
Desk Organizer 6 Compartments,OD-DORG-6C-BLK,2,Black mesh desktop organizer,24.00,70
File Folders Letter Size,OD-FFL-LS-100,2,Manila file folders 100 pack,18.00,90
3-Ring Binder 2 inch,OD-3RB-2IN-WHT,2,White view binder D-ring,12.00,85
Highlighter Set 8 Colors,OD-HL-8C-SET,2,Chisel tip highlighter markers,14.00,95
Sticky Notes Value Pack,OD-STN-VP-24PK,2,24 pads assorted colors,22.00,110
Whiteboard 36x24,OD-WB-3624-MAG,2,Magnetic dry erase board,45.00,35
Calculator Scientific,OD-CALC-SCI,2,Scientific calculator,25.00,50
Desk Lamp LED Adjustable,OD-DLAMP-LED,2,Adjustable LED desk lamp,39.00,40
Paper Clips Jumbo 500ct,OD-PCL-500,2,Smooth finish jumbo clips,8.00,120
Scissors 8 inch Pro,OD-SC-8IN,2,Professional office scissors,12.00,75
Tape Dispenser Desktop,OD-TD-DESK,2,Weighted desktop tape dispenser,15.00,60
