name,sku,barcode,description,cost_price,selling_price,quantity,min_stock_level,unit,status,brand
Apple iPhone 15,IPHONE15-128,8901234567890,iPhone 15 128GB,799.00,999.00,50,10,PIECE,ACTIVE,Apple
Samsung Galaxy S24,GALAXY-S24,8901234567891,Galaxy S24 256GB,699.00,899.00,75,15,PIECE,ACTIVE,Samsung
Sony WH-1000XM5,SONY-XM5,8901234567892,Wireless Noise Canceling Headphones,299.00,399.00,30,5,PIECE,ACTIVE,Sony
Dell XPS 15,DELL-XPS15,8901234567893,Dell XPS 15 Laptop,1299.00,1599.00,20,5,PIECE,ACTIVE,Dell
Logitech MX Master 3,LOGI-MX3,8901234567894,Wireless Mouse,79.00,99.00,100,20,PIECE,ACTIVE,Logitech
HP LaserJet Pro,HP-LJ-PRO,8901234567895,Laser Printer,349.00,449.00,15,3,PIECE,ACTIVE,HP
Canon EOS R6,CANON-R6,8901234567896,Mirrorless Camera,1999.00,2499.00,10,2,PIECE,ACTIVE,Canon
Nintendo Switch OLED,NSW-OLED,8901234567897,Gaming Console,299.00,349.00,40,10,PIECE,ACTIVE,Nintendo
Bose SoundLink Flex,BOSE-FLEX,8901234567898,Portable Bluetooth Speaker,129.00,149.00,60,15,PIECE,ACTIVE,Bose
Apple AirPods Pro 2,AIRPODS-PRO2,8901234567899,Wireless Earbuds,199.00,249.00,80,20,PIECE,ACTIVE,Apple
